name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Sayh al Uhaymir 419,35708,Valid,H5-6,75.93,Found,2005.0,20.884,56.99377,"(20.884, 56.99377)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 420,35709,Valid,LL6,188.8,Found,2005.0,20.92243,56.88685,"(20.92243, 56.88685)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 421,35710,Valid,H5,81.36,Found,2005.0,20.86885,56.664680000000004,"(20.86885, 56.66468)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 422,35711,Valid,H5,506.3,Found,2005.0,20.84918,56.94902,"(20.84918, 56.94902)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 423,35712,Valid,H6,8507.7,Found,2005.0,21.01332,57.091730000000005,"(21.01332, 57.09173)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 424,35713,Valid,L6,23.16,Found,2005.0,21.268520000000002,57.31615,"(21.26852, 57.31615)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 425,35714,Valid,L5-6,10006.7,Found,2005.0,20.93015,57.14505,"(20.93015, 57.14505)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 426,35715,Valid,H4-5,112.41,Found,2005.0,20.92558,57.12225,"(20.92558, 57.12225)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 427,53632,Valid,CV3,59.0,Found,2001.0,21.084770000000002,57.275980000000004,"(21.08477, 57.27598)",Chondrite,C,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 428,45920,Valid,H~5,121.9,Found,2001.0,21.084529999999997,57.29322,"(21.08453, 57.29322)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 429,45921,Valid,H4,154.5,Found,2001.0,21.05525,57.26902,"(21.05525, 57.26902)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 430,45922,Valid,H~5,180.6,Found,2001.0,21.076520000000002,57.295880000000004,"(21.07652, 57.29588)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 431,45923,Valid,H5,22.1,Found,2001.0,21.0769,57.29693,"(21.0769, 57.29693)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 432,45924,Valid,L~6,62.0,Found,2001.0,21.05525,57.25815,"(21.05525, 57.25815)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 433,45925,Valid,L~6,43.3,Found,2001.0,21.066370000000003,57.2648,"(21.06637, 57.2648)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 434,45926,Valid,H~5,286.1,Found,2001.0,21.08908,57.27265,"(21.08908, 57.27265)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 435,45927,Valid,H~5,164.6,Found,2001.0,21.09352,57.275580000000005,"(21.09352, 57.27558)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
